(154, 31)
(286, 645)
(712, 840)
(405, 844)
(527, 554)
(740, 892)
(617, 831)
(390, 697)
(920, 706)
(740, 405)
(520, 460)
(151, 337)
(407, 61)
(32, 31)
(33, 711)
(127, 381)
(409, 32)
(705, 240)
(411, 440)
(740, 48)
(740, 165)
(871, 740)
(60, 692)
(700, 34)
(820, 595)
(850, 453)
(740, 176)
(405, 32)
(740, 861)
(865, 226)
(154, 806)
(125, 435)
(156, 3)
(151, 382)
(892, 374)
(740, 390)
(289, 350)
(384, 892)
(850, 140)
(520, 400)
(405, 3)
(740, 770)
(400, 595)
(740, 776)
(851, 740)
(832, 390)
(520, 175)
(565, 31)
(391, 2)
(215, 31)
(740, 336)
(621, 740)
(861, 520)
(520, 240)
(100, 904)
(621, 520)
(700, 90)
(32, 850)
(520, 220)
(740, 32)
(226, 415)
(1, 740)
(682, 413)
(457, 165)
(520, 33)
(33, 413)
(740, 440)
(154, 803)
(740, 636)
(740, 760)
(740, 460)
(520, 235)
(860, 520)
(407, 16)
(740, 142)
(930, 220)
(33, 706)
(740, 7)
(151, 61)
(400, 520)
(400, 255)
(494, 615)
(97, 159)
(740, 175)
(874, 543)
(842, 374)
(740, 42)
(740, 67)
(400, 202)
(390, 600)
(740, 16)
(690, 518)
(740, 55)
(241, 156)
(740, 483)
(740, 705)
(700, 740)
(220, 2)
(740, 222)
(740, 604)
(151, 740)
(32, 700)
(429, 3)
(390, 820)
(407, 4)
(526, 555)
(70, 740)
(226, 240)
(137, 3)
(65, 599)
(226, 32)
(871, 947)
(740, 100)
(871, 400)
(90, 850)
(400, 151)
(236, 240)
(426, 3)
(232, 220)
(861, 292)
(520, 95)
(103, 740)
(740, 441)
(165, 741)
(740, 215)
(130, 32)
(790, 296)
(226, 803)
(2, 4)
(740, 31)
(450, 617)
(33, 740)
(400, 592)
(390, 34)
(408, 817)
(151, 350)
(590, 615)
(740, 337)
(740, 60)
(255, 60)
(405, 5)
(920, 440)
(151, 390)
(740, 904)
(151, 31)
(408, 32)
(298, 465)
(741, 315)
(821, 1)
(804, 220)
(167, 705)
(790, 740)
(700, 32)
(690, 323)
(390, 5)
(244, 165)
(129, 817)
(390, 920)
(740, 680)
(617, 243)
(440, 390)
(742, 740)
(740, 794)
(32, 400)
(740, 630)
(740, 879)
(390, 503)
(842, 535)
(407, 585)
