(520, 240, 220, 32)
(405, 61, 33, 705)
(423, 3, 1, 900)
(740, 55, 33, 706)
(740, 32, 840, 741)
(740, 585, 220, 130)
(36, 269, 140, 2)
(740, 142, 61, 31)
(740, 879, 220, 415)
(817, 521, 521, 740)
(520, 33, 705, 2)
(740, 100, 904, 33)
(1, 820, 595, 760)
(527, 550, 33, 706)
(520, 220, 415, 2)
(90, 740, 100, 220)
(740, 100, 176, 405)
(712, 840, 400, 740)
(740, 760, 240, 952)
(400, 90, 740, 220)
(740, 503, 235, 233)
(1, 304, 354, 125)
(904, 4, 821, 1)
(390, 3, 480, 368)
(865, 226, 32, 700)
(740, 100, 176, 840)
(622, 740, 368, 861)
(790, 296, 350, 892)
(405, 4, 2, 293)
(740, 861, 877, 741)
(156, 3, 240, 741)
(215, 1, 480, 306)
(700, 33, 400, 740)
(740, 630, 240, 33)
(90, 740, 240, 820)
(151, 390, 590, 2)
(740, 176, 741, 390)
(679, 740, 235, 2)
(740, 373, 31, 2)
(390, 5, 2, 861)
(740, 337, 484, 741)
(740, 7, 503, 2)
(740, 690, 435, 255)
(740, 100, 806, 472)
(520, 400, 350, 2)
(740, 760, 49, 2)
(740, 32, 840, 220)
(740, 100, 235, 233)
(390, 717, 61, 2)
(520, 233, 240, 220)
(740, 55, 220, 32)
(527, 550, 2, 125)
(32, 31, 791, 713)
(851, 740, 705, 924)
(407, 16, 1, 2)
(740, 615, 495, 240)
(504, 350, 240, 2)
(740, 760, 61, 60)
(60, 740, 269, 140)
(740, 812, 33, 240)
(621, 220, 415, 2)
(32, 850, 32, 530)
(400, 90, 740, 35)
(740, 760, 17, 503)
(520, 235, 803, 2)
(241, 220, 32, 2)
(740, 798, 460, 350)
(740, 840, 13, 745)
(740, 32, 840, 2)
(740, 100, 415, 240)
(791, 575, 413, 222)
(740, 32, 923, 382)
(740, 55, 240, 220)
(740, 760, 740, 952)
(740, 798, 745, 924)
(520, 33, 706, 233)
(740, 729, 407, 845)
(90, 740, 233, 60)
(740, 900, 3, 2)
(621, 520, 220, 60)
(740, 585, 17, 740)
(617, 243, 741, 615)
(740, 142, 61, 2)
(138, 1, 595, 752)
(1, 368, 861, 255)
(154, 31, 1, 520)
(154, 806, 469, 1)
(90, 740, 220, 235)
(740, 337, 484, 31)
(740, 721, 2, 301)
(740, 100, 415, 741)
(740, 760, 440, 240)
(740, 440, 741, 60)
(416, 1, 565, 740)
(400, 255, 400, 165)
(700, 34, 690, 368)
(165, 741, 31, 60)
(33, 706, 233, 220)
(151, 390, 590, 741)
(740, 33, 711, 335)
(520, 70, 253, 60)
(740, 405, 590, 32)
(390, 820, 460, 60)
(740, 483, 803, 626)
(740, 803, 233, 741)
(405, 240, 740, 176)
(740, 336, 2, 220)
(416, 1, 520, 240)
(409, 190, 2, 798)
(741, 315, 850, 1)
(740, 100, 798, 220)
(427, 3, 1, 165)
(400, 740, 767, 220)
(65, 798, 706, 928)
(400, 527, 555, 233)
(407, 845, 140, 740)
(407, 5, 1, 746)
(407, 61, 740, 923)
(790, 740, 100, 176)
(390, 4, 2, 390)
(740, 900, 482, 484)
(740, 255, 920, 60)
(740, 390, 590, 741)
(740, 838, 741, 390)
(215, 1, 480, 90)
(151, 62, 820, 500)
(520, 233, 2, 861)
(842, 535, 99, 4)
(400, 202, 892, 220)
(33, 33, 142, 61)
(740, 740, 1, 550)
(740, 482, 803, 745)
(520, 70, 255, 832)
(155, 806, 467, 1)
(921, 725, 740, 350)
(520, 233, 803, 60)
(740, 482, 55, 240)
(798, 821, 1, 480)
(226, 32, 231, 798)
(151, 740, 760, 220)
(740, 877, 32, 235)
(93, 340, 924, 220)
(740, 752, 175, 2)
(740, 176, 741, 440)
(740, 390, 590, 70)
(520, 33, 706, 231)
(527, 555, 740, 55)
(158, 806, 468, 740)
(90, 740, 920, 140)
(740, 904, 33, 741)
(740, 255, 705, 140)
(740, 904, 32, 60)
(740, 798, 220, 60)
(90, 740, 32, 840)
(423, 3, 60, 407)
(32, 740, 791, 713)
(400, 90, 740, 32)
(590, 705, 575, 920)
(400, 740, 840, 13)
(151, 240, 235, 741)
(842, 374, 125, 803)
(740, 55, 2, 861)
(740, 390, 590, 32)
(426, 3, 2, 388)
(740, 407, 590, 31)
(740, 770, 235, 2)
(368, 821, 55, 31)
(740, 798, 220, 742)
(740, 176, 32, 2)
(740, 760, 72, 921)
(520, 220, 2, 727)
(520, 233, 49, 2)
(740, 626, 176, 33)
(520, 220, 240, 741)
(817, 740, 740, 760)
(740, 176, 690, 435)
(400, 740, 920, 320)
(527, 555, 240, 2)
(384, 892, 706, 717)
(804, 220, 60, 550)
(32, 31, 222, 235)
(520, 233, 741, 81)
(400, 740, 220, 415)
(740, 100, 456, 1)
(151, 279, 142, 2)
(850, 140, 803, 2)
(820, 595, 32, 115)
(400, 740, 636, 240)
(892, 890, 417, 2)
(527, 550, 740, 240)
(740, 760, 175, 176)
(740, 483, 233, 235)
(90, 740, 176, 741)
(740, 900, 790, 407)
(740, 760, 820, 368)
(740, 773, 240, 900)
(520, 72, 233, 740)
(520, 33, 706, 220)
(400, 740, 176, 700)
(215, 31, 480, 140)
(405, 32, 900, 3)
(700, 33, 137, 790)
(415, 798, 2, 354)
(679, 740, 240, 60)
(565, 31, 416, 140)
(294, 350, 595, 820)
(526, 555, 235, 2)
(390, 844, 60, 575)
(368, 501, 821, 1)
(617, 142, 1, 368)
(740, 61, 2, 390)
(90, 740, 255, 705)
(520, 95, 33, 706)
(740, 900, 790, 233)
(605, 740, 142, 2)
(740, 798, 235, 1)
(90, 740, 222, 231)
(740, 798, 231, 2)
(156, 176, 861, 698)
(740, 752, 17, 503)
(621, 390, 4, 2)
(220, 500, 520, 2)
(154, 806, 472, 1)
(90, 740, 233, 2)
(740, 840, 13, 31)
(400, 150, 617, 55)
(390, 840, 233, 240)
(520, 220, 240, 798)
(740, 760, 33, 706)
(520, 233, 240, 803)
(407, 5, 741, 500)
(740, 752, 1, 595)
(740, 460, 741, 60)
(440, 411, 740, 335)
(390, 17, 741, 60)
(740, 803, 892, 31)
(450, 617, 740, 460)
(520, 70, 219, 2)
(740, 388, 900, 320)
(740, 100, 240, 235)
(233, 798, 806, 1)
(621, 740, 390, 590)
(32, 700, 740, 388)
(865, 685, 32, 741)
(842, 391, 297, 705)
(33, 832, 236, 741)
(617, 142, 597, 32)
(740, 752, 1, 33)
(384, 575, 706, 717)
(740, 460, 510, 250)
(226, 803, 2, 220)
(909, 5, 4, 151)
(740, 794, 734, 32)
(409, 61, 740, 235)
(679, 740, 176, 240)
(740, 637, 240, 2)
(740, 60, 390, 803)
(520, 33, 705, 803)
(740, 760, 705, 742)
(842, 374, 740, 803)
(740, 560, 233, 2)
(232, 220, 32, 2)
(520, 231, 2, 220)
(400, 740, 760, 220)
(440, 390, 368, 390)
(740, 861, 32, 233)
(740, 390, 590, 233)
(90, 740, 220, 16)
(405, 5, 1, 63)
(740, 585, 17, 33)
(740, 390, 590, 235)
(892, 374, 740, 760)
(520, 400, 354, 2)
(520, 33, 705, 236)
(865, 226, 32, 741)
(740, 760, 70, 255)
(161, 390, 590, 31)
(740, 100, 233, 220)
(740, 460, 503, 2)
(740, 717, 240, 2)
(740, 222, 235, 2)
(740, 32, 840, 585)
(520, 240, 31, 1)
(161, 390, 590, 2)
(151, 390, 590, 900)
(740, 61, 2, 400)
(740, 443, 388, 33)
(520, 33, 705, 235)
(368, 1, 740, 543)
(400, 740, 690, 436)
(865, 32, 32, 700)
(204, 630, 233, 832)
(791, 575, 740, 222)
(740, 100, 415, 191)
(400, 740, 335, 482)
(740, 760, 70, 921)
(740, 384, 32, 2)
(740, 636, 240, 204)
(740, 636, 240, 233)
(151, 220, 16, 2)
(103, 740, 803, 60)
(740, 798, 220, 415)
(527, 550, 240, 2)
(740, 255, 705, 2)
(842, 871, 192, 368)
(740, 48, 741, 250)
(740, 927, 741, 60)
(740, 100, 415, 740)
(137, 3, 1, 740)
(740, 773, 156, 2)
(740, 680, 90, 585)
(90, 850, 32, 60)
(405, 61, 33, 706)
(590, 705, 435, 255)
(740, 388, 231, 240)
(32, 740, 222, 235)
(407, 16, 1, 740)
(921, 100, 415, 904)
(700, 33, 151, 706)
(621, 520, 231, 240)
(861, 495, 368, 836)
(740, 61, 2, 455)
(595, 820, 100, 415)
(408, 32, 520, 95)
(34, 700, 335, 575)
(400, 740, 585, 838)
(740, 904, 32, 220)
(740, 798, 240, 60)
(920, 440, 692, 1)
(319, 617, 255, 140)
(407, 32, 520, 100)
(842, 871, 192, 740)
(740, 760, 605, 2)
(429, 3, 741, 60)
(740, 390, 590, 220)
(520, 233, 31, 2)
(740, 752, 460, 495)
(740, 455, 176, 2)
(408, 817, 920, 2)
(740, 927, 32, 741)
(151, 233, 803, 33)
