(520, 220, 803)
(700, 33, 137)
(440, 411, 740)
(390, 17, 741)
(740, 407, 590)
(871, 947, 740)
(155, 806, 467)
(90, 740, 2)
(527, 555, 235)
(740, 55, 220)
(740, 32, 840)
(865, 32, 32)
(740, 760, 70)
(740, 31, 504)
(527, 550, 235)
(520, 233, 803)
(821, 1, 480)
(740, 920, 318)
(405, 32, 520)
(138, 1, 595)
(156, 2, 861)
(36, 269, 140)
(226, 32, 2)
(520, 175, 2)
(90, 740, 362)
(350, 1, 740)
(740, 42, 741)
(60, 692, 269)
(740, 603, 240)
(390, 503, 740)
(740, 636, 2)
(226, 803, 2)
(740, 798, 3)
(154, 806, 469)
(1, 595, 142)
(740, 215, 2)
(621, 482, 1)
(740, 441, 2)
(740, 630, 240)
(740, 388, 231)
(690, 518, 740)
(740, 840, 13)
(740, 416, 741)
(90, 740, 60)
(32, 700, 740)
(289, 350, 761)
(520, 920, 320)
(504, 350, 240)
(390, 600, 617)
(151, 233, 803)
(871, 740, 637)
(409, 61, 740)
(740, 760, 519)
(319, 617, 255)
(520, 235, 803)
(220, 500, 520)
(842, 391, 297)
(226, 415, 2)
(527, 550, 33)
(368, 3, 742)
(740, 455, 2)
(740, 269, 792)
(740, 636, 240)
(740, 255, 920)
(34, 700, 335)
(740, 176, 240)
(740, 721, 2)
(450, 617, 740)
(820, 740, 176)
(740, 390, 590)
(740, 794, 734)
(740, 900, 3)
(520, 95, 33)
(32, 850, 32)
(740, 900, 5)
(390, 3, 480)
(740, 67, 741)
(740, 460, 510)
(621, 390, 844)
(740, 48, 741)
(621, 740, 231)
(97, 520, 33)
(740, 803, 741)
(233, 226, 32)
(400, 255, 400)
(621, 520, 231)
(740, 55, 240)
(740, 821, 741)
(740, 100, 235)
(741, 32, 840)
(224, 740, 61)
(740, 760, 705)
(740, 717, 415)
(700, 34, 400)
(400, 151, 336)
(226, 32, 231)
(220, 2, 63)
(408, 817, 920)
(740, 32, 55)
(520, 220, 2)
(679, 740, 235)
(103, 740, 803)
(151, 62, 820)
(740, 388, 235)
(400, 592, 140)
(413, 820, 220)
(740, 900, 741)
(740, 100, 140)
(740, 100, 456)
(740, 585, 220)
(527, 550, 233)
(740, 440, 240)
(33, 706, 233)
(705, 32, 595)
